Timestamp,Perpustakaan,Jantina,Umur,Tahap_tertinggi_pendidikan,Agama,Bangsa,Status_perkahwinan,Mengunjungi_perpustakaan,Perpustakaan_fizikal,Perpustakaan_digital,Kekerapan_mengunjungi_perpustakaan,Ahli,Jarak_lokasi,Lokasi_strategik,Kepentingan_perpustakaan,Manfaat_perpustakaan,Keperluan_perpustakaan,Kekurangan_pengunjung,Penutupan_perpustakaan,Alternatif_baru,Aktiviti_perpustakaan,Tahap_promosi,Operasi_perpustakaan,Waktu_perkhidmatan,Sistem_Pinjaman_dan_Pemulangan_Koleksi,Layanan_Staf_di_Kaunter_Sirkulasi,Koleksi_Dewasa,Koleksi_Kanak_kanak,Koleksi_Rujukan,Koleksi_Akhbar_dan_Majalah,Koleksi_Pangkalan_Data,Perkhidmatan_Fotokopi,Perkhidmatan_Cetakan,Program_Galak_Guna_Perpustakaan_Aktiviti_Perpustakaan,Perabot_Dan_Peralatan,Keceriaan_DanKebersian
2025/04/23 11:34:09 AM GMT+8,Perpustakaan Desa Bukit Merah,Perempuan,31-50 (Dewasa),SPM/Setara,Islam,Melayu,Berkahwin,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan;Pinjaman dan pemulangan buku,Tidak pernah kunjungi,Kadang-kadang,Ya,4-5 km,Tidak,Ya,Ya,Ya,Ya,Tidak perlu ditutup,Perpustakaan bandar terdekat,Ya,Baik,Ya,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Memuaskan,Baik
2025/04/23 11:38:00 AM GMT+8,Perpustakaan Desa Bukit Merah,Perempuan,31-50 (Dewasa),SPM/Setara,Islam,Melayu,Berkahwin,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan,Tidak pernah kunjungi,Jarang-jarang,Ya,4-5 km,Tidak,Ya,Ya,Ya,Ya,Tidak perlu ditutup,Perpustakaan bandar terdekat,Ya,Baik,Ya,Baik,Baik,Baik,Baik,Sangat Baik,Baik,Baik,Sangat Baik,Baik,Baik,Baik,Memuaskan,Sangat Baik
2025/04/23 11:40:43 AM GMT+8,Perpustakaan Desa Bukit Merah,Perempuan,31-50 (Dewasa),SPM/Setara,Islam,Melayu,Bujang,Perpustakaan fizikal,Pinjaman dan pemulangan buku,Tidak pernah kunjungi,Kadang-kadang,Ya,1-3 km,Ya,Ya,Ya,Ya,Ya,Tidak perlu ditutup,Perpustakaan bandar terdekat,Ya,Baik,Ya,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Memuaskan,Baik
2025/04/23 11:45:24 AM GMT+8,Perpustakaan Desa Bukit Merah,Perempuan,18-30 (Dewasa Muda),SPM/Setara,Islam,Melayu,Berkahwin,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan;Pinjaman dan pemulangan buku,Menggunakan kemudahan perpustakaan,Jarang-jarang,Ya,4-5 km,Tidak,Ya,Ya,Ya,Ya,Perlu ditutup,Perpustakaan bandar terdekat,Ya,Neutral,Tidak,Memuaskan,Memuaskan,Baik,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan
2025/04/23 11:47:23 AM GMT+8,Perpustakaan Desa Bukit Merah,Perempuan,31-50 (Dewasa),SPM/Setara,Islam,Melayu,Berkahwin,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan;Pinjaman dan pemulangan buku,Tidak pernah kunjungi,Jarang-jarang,Ya,4-5 km,Tidak,Ya,Tidak,Tidak,Ya,Perlu ditutup,Perpustakaan bandar terdekat,Ya,Neutral,Tidak,Memuaskan,Memuaskan,Baik,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan
2025/04/23 11:49:32 AM GMT+8,Perpustakaan Desa Bukit Merah,Perempuan,31-50 (Dewasa),SPM/Setara,Islam,Melayu,Berkahwin,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan,Menggunakan kemudahan perpustakaan,Kadang-kadang,Ya,4-5 km,Tidak,Ya,Ya,Ya,Ya,Tidak perlu ditutup,Perpustakaan bandar terdekat,Ya,Baik,Ya,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Memuaskan,Baik
2025/04/23 11:51:49 AM GMT+8,Perpustakaan Desa Bukit Merah,Lelaki,51+ (Warga Emas),SPM/Setara,Islam,Melayu,Berkahwin,Tidak pernah,Tidak pernah kunjungi,Tidak pernah kunjungi,Tidak pernah,Tidak,4-5 km,Tidak,Ya,Ya,Tidak,Ya,Perlu ditutup,Sumber dalam talian,Ya,Neutral,Tidak,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Baik,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan
2025/04/23 11:54:19 AM GMT+8,Perpustakaan Desa Bukit Merah,Lelaki,31-50 (Dewasa),STPM/Setara,Islam,Melayu,Berkahwin,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan,Tidak pernah kunjungi,Jarang-jarang,Ya,1-3 km,Ya,Ya,Ya,Ya,Ya,Perlu ditutup,Perpustakaan bandar terdekat,Ya,Baik,Ya,Memuaskan,Memuaskan,Baik,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Baik,Memuaskan
2025/04/23 11:56:24 AM GMT+8,Perpustakaan Desa Bukit Merah,Lelaki,51+ (Warga Emas),SRP/PMR/PT3,Islam,Melayu,Berkahwin,Tidak pernah,Tidak pernah kunjungi,Tidak pernah kunjungi,Tidak pernah,Tidak,4-5 km,Ya,Ya,Ya,Ya,Ya,Perlu ditutup,Perpustakaan bandar terdekat,Tidak,Neutral,Tidak,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan
2025/04/23 11:58:14 AM GMT+8,Perpustakaan Desa Bukit Merah,Perempuan,18-30 (Dewasa Muda),SPM/Setara,Islam,Melayu,Berkahwin,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan,Menggunakan kemudahan perpustakaan,Jarang-jarang,Ya,4-5 km,Tidak,Ya,Ya,Ya,Ya,Perlu ditutup,Perpustakaan bandar terdekat,Ya,Neutral,Tidak,Memuaskan,Memuaskan,Baik,Baik,Baik,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Baik
2025/04/23 12:01:09 PM GMT+8,Perpustakaan Desa Bukit Merah,Lelaki,31-50 (Dewasa),SPM/Setara,Islam,Melayu,Berkahwin,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan,Tidak pernah kunjungi,Jarang-jarang,Ya,4-5 km,Tidak,Ya,Tidak,Tidak,Ya,Perlu ditutup,Perpustakaan bandar terdekat,Ya,Neutral,Tidak,Memuaskan,Memuaskan,Baik,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Baik
2025/04/23 12:03:18 PM GMT+8,Perpustakaan Desa Bukit Merah,Perempuan,31-50 (Dewasa),SPM/Setara,Islam,Melayu,Berkahwin,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan,Menggunakan kemudahan perpustakaan;Tidak pernah kunjungi,Jarang-jarang,Ya,1-3 km,Tidak,Ya,Ya,Ya,Ya,Perlu ditutup,Perpustakaan bandar terdekat,Ya,Baik,Tidak,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan
2025/04/23 12:05:07 PM GMT+8,Perpustakaan Desa Bukit Merah,Lelaki,18-30 (Dewasa Muda),SPM/Setara,Islam,Melayu,Bujang,Tidak pernah,Tidak pernah kunjungi,Tidak pernah kunjungi,Tidak pernah,Tidak,4-5 km,Tidak,Ya,Tidak,Tidak,Ya,Perlu ditutup,Sumber dalam talian,Ya,Neutral,Tidak,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan
2025/04/23 12:07:03 PM GMT+8,Perpustakaan Desa Bukit Merah,Lelaki,31-50 (Dewasa),STPM/Setara,Islam,Melayu,Berkahwin,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan,Tidak pernah kunjungi,Kadang-kadang,Ya,1-3 km,Tidak,Ya,Tidak,Tidak,Ya,Perlu ditutup,Perpustakaan bandar terdekat,Ya,Neutral,Tidak,Memuaskan,Memuaskan,Baik,Memuaskan,Baik,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Baik
2025/04/23 12:10:00 PM GMT+8,Perpustakaan Desa Bukit Merah,Lelaki,18-30 (Dewasa Muda),SPM/Setara,Islam,Melayu,Bujang,Tidak pernah,Tidak pernah kunjungi,Tidak pernah kunjungi,Tidak pernah,Tidak,4-5 km,Tidak,Ya,Tidak,Tidak,Ya,Perlu ditutup,Sumber dalam talian,Ya,Neutral,Tidak,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan
