Timestamp,Perpustakaan,Jantina,Umur,Tahap_tertinggi_pendidikan,Agama,Bangsa,Status_perkahwinan,Pernah_kunjung_perpustakaan,Perpustakaan_yang_dikunjung,Tujuan_perpustakaan _fizikal,Tujuan_perpustakaan_digital,Kekerapan_mengunjung,Ahli,Jarak_lokasi,Lokasi_strategik,Penting,Manfaat,Perlu_ada,Kekurangan_pengunjung,Penutupan_perpustakaan,Alternatif_bahanbacaan,Aktiviti,Tahap_promosi,Operasi,Tahap_perkhidmatan_waktu_perkhidmatan,Tahap_perkhidmatan_pinjam_pulang,Tahap_perkhidmatan_layanan_staff,Tahap_perkhidmatan_koleksi_dewasa,Tahap_perkhidmatan_koleksi_kanak,Tahap_perkhidmatan_koleksi_rujukan,Tahap_perkhidmatan_koleksi_akhbar,Tahap_perkhidmatan_koleksi_data,Tahap_perkhidmatan_koleksi_fotokopi,Tahap_perkhidmatan_koleksi_cetakan,Tahap_perkhidmatan_koleksi_galak_guna,Tahap_perkhidmatan_koleksi_perabot,Tahap_perkhidmatan_koleksi_kebersihan
2025/04/16 9:42:53 AM GMT+8,Perpustakaan Desa Sempeneh,Perempuan,31-50 (Dewasa),SPM/ Setara,Islam,Melayu,Janda,,Perpustakaan fizikal,Membaca,Berjumpa kawan,Jarang-jarang,Ya,6-10 km,Ya,Ya,Ya,Tidak,Tidak,Perlu ditutup,Sumber dalam talian,Ya,Baik,Tidak,Sangat Baik,Baik,Sangat Baik,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Baik
2025/04/16 9:52:25 AM GMT+8,Perpustakaan Desa Sempeneh,Perempuan,51+ (Warga Emas),SPM/ Setara,Islam,Melayu,Berkahwin,Lokasi perpustakaan tidak strategik,Perpustakaan fizikal,Menyertai aktiviti perpustakaan,Menyertai aktiviti perpustakaan,Jarang-jarang,Ya,1-3 km,Tidak,Ya,Ya,Tidak,Tidak,Perlu ditutup,Perpustakaan bandar terdekat,Ya,Baik,Tidak,Baik,Memuaskan,Baik,Memuaskan,Memuaskan,Memuaskan,Baik,Baik,Memuaskan,Memuaskan,Baik,Memuaskan,Baik
2025/04/16 10:04:28 AM GMT+8,Perpustakaan Desa Sempeneh,Lelaki,18-30 (Dewasa Muda),SPM/ Setara,Islam,Melayu,Bujang,Lokasi perpustakaan tidak strategik,Perpustakaan fizikal,Berjumpa kawan,Menggunakan kemudahan perpustakaan,Kadang-kadang,Ya,10 km ke atas,Ya,Tidak,Ya,Tidak,Tidak,Perlu ditutup,Sumber dalam talian,Ya,Sangat baik,Tidak,Baik,Baik,Baik,Baik,Baik,Memuaskan,Memuaskan,Baik,Memuaskan,Memuaskan,Baik,Baik,Baik
2025/04/16 10:13:41 AM GMT+8,Perpustakaan Desa Sempeneh,Perempuan,51+ (Warga Emas),SRP/PMR/PT3,Islam,Melayu,Berkahwin,Kemudahan yang disediakan di perpustakaan tidak mencukupi,Perpustakaan fizikal,Menyertai aktiviti perpustakaan,Menyertai aktiviti perpustakaan,Sebulan sekali,Ya,6-10 km,Ya,Tidak,Ya,Ya,Ya,Perlu ditutup,Perpustakaan bandar terdekat,Ya,Sangat baik,Tidak,Baik,Sangat Baik,Baik,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Baik,Memuaskan,Baik
2025/04/16 10:16:21 AM GMT+8,Perpustakaan Desa Sempeneh,Lelaki,31-50 (Dewasa),SPM/ Setara,Islam,Melayu,Berkahwin,Kemudahan yang disediakan di perpustakaan tidak mencukupi,Perpustakaan fizikal,Berjumpa kawan,Berjumpa kawan,Kadang-kadang,Ya,4-5 km,Ya,Tidak,Ya,Tidak,Tidak,Perlu ditutup,Perpustakaan bandar terdekat,Ya,Sangat baik,Tidak,Baik,Baik,Baik,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Baik
2025/04/16 10:19:18 AM GMT+8,Perpustakaan Desa Sempeneh,Lelaki,18-30 (Dewasa Muda),SPM/ Setara,Islam,Melayu,Bujang,Lokasi perpustakaan tidak strategik,Perpustakaan fizikal,Membuat rujukan / penyelidikan,Berjumpa kawan,Sebulan sekali,Ya,6-10 km,Ya,Ya,Ya,Tidak,Tidak,Perlu ditutup,Sumber dalam talian,Ya,Sangat baik,Tidak,Baik,Baik,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Baik
2025/04/16 10:22:13 AM GMT+8,Perpustakaan Desa Sempeneh,Lelaki,31-50 (Dewasa),SPM/ Setara,Islam,Melayu,Berkahwin,Lokasi perpustakaan tidak strategik,Perpustakaan fizikal,Menyertai aktiviti perpustakaan,Menggunakan kemudahan perpustakaan,Sebulan sekali,Tidak ,4-5 km,Tidak,Tidak,Tidak,Tidak,Ya,Perlu ditutup,Perpustakaan bandar terdekat,Ya,Sangat baik,Tidak,Sangat Baik,Baik,Baik,Baik,Baik,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Baik,Memuaskan,Baik
2025/04/16 10:25:54 AM GMT+8,Perpustakaan Desa Sempeneh,Perempuan,31-50 (Dewasa),STPM/ Setara,Islam,Melayu,Berkahwin,Kemudahan yang disediakan di perpustakaan tidak mencukupi,Perpustakaan fizikal,Menyertai aktiviti perpustakaan,Menyertai aktiviti perpustakaan,Sebulan sekali,Ya,4-5 km,Tidak,Tidak,Ya,Tidak,Ya,Perlu ditutup,Perpustakaan bandar terdekat,Ya,Sangat baik,Tidak,Sangat Baik,Baik,Sangat Baik,Baik,Memuaskan,Memuaskan,Memuaskan,Baik,Memuaskan,Memuaskan,Baik,Memuaskan,Baik
2025/04/16 10:29:02 AM GMT+8,Perpustakaan Desa Sempeneh,Lelaki,51+ (Warga Emas),SRP/PMR/PT3,Islam,Melayu,Bujang,Lokasi perpustakaan tidak strategik,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan,Membaca,Sebulan sekali,Tidak ,4-5 km,Tidak,Tidak,Ya,Tidak,Tidak,Perlu ditutup,Sumber dalam talian,Ya,Sangat baik,Tidak,Baik,Baik,Sangat Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Memuaskan,Sangat Baik
2025/04/16 10:33:00 AM GMT+8,Perpustakaan Desa Sempeneh,Perempuan,0-17 (Remaja),SRP/PMR/PT3,Islam,Melayu,Bujang,Kemudahan yang disediakan di perpustakaan tidak mencukupi,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan,Menyertai aktiviti perpustakaan,Setiap Minggu,Ya,1-3 km,Ya,Ya,Ya,Ya,Tidak,Tidak perlu ditutup,Tidak akan mencari bahan lain,Ya,Sangat baik,Ya,Sangat Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Memuaskan,Memuaskan,Baik,Memuaskan,Sangat Baik
