Timestamp,Perpustakaan,Jantina,Umur,Tahap_tertinggi_pendidikan,Agama,Bangsa,Status_perkahwinan,Mengunjungi_perpustakaan,Perpustakaan_fizikal,Perpustakaan_digital,Kekerapan_mengunjungi_perpustakaan,Ahli,Jarak_lokasi,Lokasi_strategik,Kepentingan_perpustakaan,Manfaat_perpustakaan,Keperluan_perpustakaan,Kekurangan_pengunjung,Penutupan_perpustakaan,Alternatif_baru,Aktiviti_perpustakaan,Tahap_promosi,Operasi_perpustakaan,Waktu_perkhidmatan,Sistem_Pinjaman_dan_Pemulangan_Koleksi,Layanan_Staf_di_Kaunter_Sirkulasi,Koleksi_Dewasa,Koleksi_Kanak_kanak,Koleksi_Rujukan,Koleksi_Akhbar_dan_Majalah,Koleksi_Pangkalan_Data,Perkhidmatan_Fotokopi,Perkhidmatan_Cetakan,Program_Galak_Guna_Perpustakaan_Aktiviti_Perpustakaan,Perabot_Dan_Peralatan,Keceriaan_DanKebersian
2025/04/23 2:28:38 PM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,31-50 (Dewasa),SPM/Setara,Islam,Melayu,Berkahwin,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan;Menyertai aktiviti perpustakaan;Pinjaman dan pemulangan buku,Menggunakan kemudahan perpustakaan;Pinjaman dan pemulangan buku,Jarang-jarang,Ya,10 km ke atas,Ya,Ya,Ya,Ya,Ya,Tidak perlu ditutup,Perpustakaan bandar terdekat,Ya,Baik,Ya,Baik,Baik,Sangat Baik,Baik,Baik,Baik,Sangat Baik,Baik,Baik,Baik,Baik,Baik,Baik
2025/04/23 2:32:40 PM GMT+8,Perpustakaan Desa Kuala Dipang,Lelaki,31-50 (Dewasa),SPM/Setara,Islam,Melayu,Berkahwin,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan;Menyertai aktiviti perpustakaan,Pinjaman dan pemulangan buku,Kadang-kadang,Ya,6-10 km,Ya,Ya,Ya,Ya,Ya,Perlu ditutup,Sumber dalam talian,Ya,Baik,Ya,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik
2025/04/23 2:39:25 PM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,18-30 (Dewasa Muda),Ijazah Sarjana Muda,Islam,Melayu,Bujang,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan;Menyertai aktiviti perpustakaan;Pinjaman dan pemulangan buku;Belajar atau menyelesaikan tugasan,Menggunakan kemudahan perpustakaan;Pinjaman dan pemulangan buku;Belajar atau menyelesaikan tugasan;Membuat rujukan / penyelidikan;Membaca,Kadang-kadang,Ya,10 km ke atas,Tidak,Ya,Ya,Ya,Ya,Tidak perlu ditutup,Sumber dalam talian,Ya,Neutral,Ya,Sangat Baik,Sangat Baik,Sangat Baik,Baik,Baik,Baik,Sangat Baik,Baik,Memuaskan,Memuaskan,Baik,Memuaskan,Baik
2025/04/23 2:41:27 PM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,31-50 (Dewasa),SPM/Setara,Islam,Melayu,Berkahwin,Perpustakaan fizikal,Membaca,Tidak pernah kunjungi,Kadang-kadang,Ya,4-5 km,Tidak,Ya,Tidak,Tidak,Ya,Perlu ditutup,Perpustakaan bandar terdekat,Ya,Baik,Tidak,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Tidak Memuaskan,Tidak Memuaskan,Baik,Memuaskan,Baik
2025/04/23 2:49:22 PM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,18-30 (Dewasa Muda),Ijazah Sarjana Muda,Islam,Melayu,Bujang,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan;Pinjaman dan pemulangan buku;Belajar atau menyelesaikan tugasan;Membuat rujukan / penyelidikan;Berjumpa kawan;Membaca;Mencari maklumat dalam subjek khas / khusus,"Membuat rujukan / penyelidikan;Berjumpa kawan;""Healing"";Membaca",Jarang-jarang,Ya,6-10 km,Tidak,Ya,Ya,Ya,Ya,Perlu ditutup,Tidak akan mencari bahan lain,Ya,Sangat baik,Ya,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik
2025/04/23 2:50:43 PM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,31-50 (Dewasa),SPM/Setara,Islam,Melayu,Berkahwin,Tidak pernah,Tidak pernah kunjungi,Tidak pernah kunjungi,Tidak pernah,Tidak,1-3 km,Tidak,Tidak,Tidak,Tidak,Ya,Perlu ditutup,Sumber dalam talian,Ya,Neutral,Tidak,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan
2025/04/23 2:52:49 PM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,51+ (Warga Emas),SRP/PMR/PT3,Islam,Melayu,Berkahwin,Perpustakaan fizikal,Berjumpa kawan;Membaca,Tidak pernah kunjungi,Jarang-jarang,Ya,1-3 km,Tidak,Tidak,Tidak,Tidak,Ya,Perlu ditutup,Sumber dalam talian,Ya,Baik,Tidak,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Memuaskan,Memuaskan,Baik,Baik,Baik
2025/04/23 2:54:14 PM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,18-30 (Dewasa Muda),SPM/Setara,Islam,Melayu,Bujang,Perpustakaan fizikal,Belajar atau menyelesaikan tugasan;Membuat rujukan / penyelidikan,Membuat rujukan / penyelidikan;Berjumpa kawan;Membaca,Sebulan sekali,Ya,1-3 km,Ya,Ya,Ya,Ya,Ya,Tidak perlu ditutup,Perpustakaan bandar terdekat,Ya,Baik,Ya,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik
2025/04/23 2:56:46 PM GMT+8,Perpustakaan Desa Kuala Dipang,Lelaki,0-17 (Remaja),SPM/Setara,Islam,Melayu,Bujang,Perpustakaan fizikal,Membuat rujukan / penyelidikan;Membaca,Tidak pernah kunjungi,Jarang-jarang,Tidak,1-3 km,Tidak,Tidak,Tidak,Tidak,Ya,Perlu ditutup,Sumber dalam talian,Ya,Neutral,Tidak,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Tidak Memuaskan,Tidak Memuaskan,Baik,Baik,Baik
2025/04/23 2:58:34 PM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,31-50 (Dewasa),SPM/Setara,Islam,Melayu,Berkahwin,Tidak pernah,Tidak pernah kunjungi,Tidak pernah kunjungi,Jarang-jarang,Tidak,4-5 km,Tidak,Tidak,Tidak,Tidak,Ya,Tidak perlu ditutup,Sumber dalam talian,Ya,Neutral,Ya,Memuaskan,Baik,Sangat Baik,Baik,Baik,Baik,Baik,Baik,Tidak Memuaskan,Tidak Memuaskan,Baik,Baik,Baik
